episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
182,24,24,0.0,0.003457019901058326,10.551886598269144,,,,,,,,,,,,0.022267527179792523,0.2423502616584301,0.35067951927582425,0.3228058082362016,0.25173043708006543,0.06118805757518219
184,24,24,0.0,-0.005057384599543487,14.295266350110372,,,,,,,,,,,,0.016886299398417275,0.1900716150800387,0.3509308112164338,0.32315535719196004,0.25128282979130745,0.059338058627532796
186,24,24,0.0,-0.005455102965546151,9.11940368016561,,,,,,,,,,,,0.025266417166373383,0.2669270845750968,0.35115978866815567,0.32347767800092697,0.17895801241199175,0.05754399373371568
188,5,24,0.0,0.0436396561563015,14.252326774597169,,,,,,,,,,,,0.06057280241511762,0.32578125,0.35121467113494875,0.3235566794872284,0.26905333399772646,0.05580417174769964
190,24,24,0.0,-0.007576080000338455,14.336392482121786,,,,,,,,,,,,0.011331470246659592,0.13287760441501936,0.3514581173658371,0.3238952135046323,0.22473241575062275,0.054116952654646354
192,24,24,0.0,-0.002696460830823829,28.059643387794495,,,,,,,,,,,,0.018194485902010154,0.20260416685293117,0.35173047333955765,0.32427174722154933,0.22993481593827406,0.05248074602497723
194,24,24,0.0,-0.009915391681715846,9.995417157808939,,,,,,,,,,,,0.01190638996680112,0.15276692699020109,0.35159873838226,0.32408807054162025,0.25493316166102886,0.05089400951518089
196,24,24,0.0,-0.00693515531020239,10.035579979419708,,,,,,,,,,,,0.012023841234622523,0.14873046924670538,0.35165610785285634,0.3241652051607768,0.2131355945020914,0.049355247413948054
198,24,24,0.0,-0.005618099433680375,8.78102441628774,,,,,,,,,,,,0.014004160853801295,0.16725260578095913,0.35210467875003815,0.324788407733043,0.2180393555512031,0.04786300923226383
200,24,24,0.0,-0.011477101827040315,15.992677927017212,,,,,,,,,,,,0.019823741711055238,0.23876953249176344,0.3523346496125062,0.3251090310513973,0.1607786056896051,0.04641588833612779
202,24,24,0.0,-0.009700512668738762,12.633096297581991,,,,,,,,,,,,0.015246228707837872,0.1820312508692344,0.35240601375699043,0.32521114746729535,0.2275397746513287,0.045012520620613346
204,24,24,0.0,-0.0068894339686570065,12.315279066562653,,,,,,,,,,,,0.0195973543159198,0.2142252610065043,0.3527284935116768,0.3256662003695965,0.17776467092335224,0.043651583224016605
206,24,24,0.0,-0.00910352038530012,11.155689418315887,,,,,,,,,,,,0.01946351919711257,0.21946614732344946,0.35298074781894684,0.3260194659233093,0.17418601053456464,0.042331793280882095
