episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time,peak_solar_w,mean_solar_w,min_battery
80,720,4.937630872342702,-57.60818556959978,24.348069440283723,-62.05860646762787,13.702651390989793,-0.8894084692001343,19.968536712010973,19.51128272000642,0.6410520942154108,18.87023062579101,0.294571802005521,42.26334710812055,24.73983816599072,4.937630872342702
81,720,4.8663835757754255,-55.43190271504866,24.42029958596645,-60.0439627353791,13.73896571947846,,20.738407532000565,20.59465728700161,0.6421634471043944,19.952493839897215,0.0,42.263316561764896,24.894595729764948,4.8663835757754255
82,720,7.01910105464312,-47.548924472864286,25.313049336294533,-51.81331962536873,14.5214638932077,-0.9627355933189392,19.717885085992748,19.278429459009203,0.6414656036504311,18.636963855358772,0.2947019889979856,42.263422167901346,25.34317506976181,7.01910105464312
83,720,23.47202113009731,-13.449008100150538,26.86012626699901,-19.33300577180789,14.378073103349358,,19.95839146299113,19.81207498299773,0.6418593402049737,19.170215642792755,0.0,42.26320251396601,27.734532924821426,19.421523961321245
84,720,7.060062999018577,-54.64136612678633,24.604671263441425,-58.593869462640704,14.081291986855527,-0.8885759115219116,20.324730468011694,19.87903713301057,0.6421398970123846,19.236897235998185,0.2940554310043808,42.26319423452514,24.928580347292705,7.060062999018577
85,707,0.0,-59.348033199821536,24.00384492324462,-62.7364479812078,13.895185977751165,,19.42325691100268,19.284274660996743,0.6299231098528253,18.654351551143918,0.0,42.26322696376227,24.589126192016263,0.0
86,719,0.0,-66.069995831234,23.88690485276656,-70.07991385028706,13.623285887246444,-0.8846678137779236,19.56542356699356,19.11759839800652,0.6398745250044158,18.477723873002105,0.29477186599979177,42.24994058569502,24.216098100990084,0.0
87,720,6.7516730018975295,-53.11537136635292,25.20395766631185,-59.228908398192154,13.111019028833434,,19.104138580005383,18.962840459003928,0.6420044869882986,18.32083597201563,0.0,42.26310042594669,25.009596649102726,6.7516730018975295
88,700,0.0,-56.08762619847151,24.259421497267013,-60.74543708088951,13.241078222005846,-0.7898136973381042,18.40131429200119,17.964566937007476,0.6240193169214763,17.340547620086,0.29583478000131436,42.26326850470001,24.650968339407004,0.0
89,719,0.0,-66.30493672235131,24.04554936792726,-69.14254190346058,14.504977563232908,,21.24079453900049,21.069584589000442,0.6420934988418594,20.427491090158583,0.0,42.26319793176919,24.12421592170558,0.0
90,720,4.093459392172387,-56.137200419187096,24.356203962274357,-58.762136596126716,14.946058274903587,-0.977421760559082,20.50228788999084,20.061243043994182,0.6410595718916738,19.420183472102508,0.2935803529981058,42.26333775891176,24.876230385095464,4.093459392172387
91,695,0.0,-68.72834852001859,22.887306649722493,-72.13805908713029,13.515280784840202,,18.281284394004615,18.134207151990267,0.6213099120359402,17.512897239954327,0.0,42.26345903068127,23.76682193879305,0.0
92,720,0.0,-59.7768191535109,24.213686788811806,-63.468145480155165,13.832397140501042,-0.9335113763809204,20.3227957420022,19.888949271000456,0.6436308859410929,19.245318385059363,0.29450068301230203,42.263421473605355,24.57855667584785,0.0
93,710,0.0,-73.18877631104277,23.453749320208562,-77.38931022183537,12.93900775547854,,18.32968164299382,18.190393330994993,0.6337167921301443,17.55667653886485,0.0,42.263219548363814,23.730302444789793,0.0
94,720,3.696323639587958,-52.896562942221315,24.52514033678697,-57.15802507829078,14.040089193694522,-0.850296676158905,20.182854027996655,19.736431541998172,0.6417302059853682,19.094701336012804,0.3003967480035499,42.26210746676373,25.023441795913175,3.696323639587958
95,720,8.162580947498373,-56.36330022377994,24.81901991822672,-60.678587612905346,14.10808360067113,,19.551104309008224,19.40092532899871,0.6425651522149565,18.758360176783754,0.0,42.25989760656574,24.874197463906572,8.162580947498373
96,720,17.256104072999822,-37.854234619751765,24.67425455912194,-41.2552868783932,14.42902476028961,-0.7110737562179565,20.604708158003632,20.144679653007188,0.6406258837232599,19.504053769283928,0.2942471060086973,42.263338892927315,26.198751736119664,16.61709953332149
97,720,8.87133389638711,-50.5595668409268,25.12671083359501,-55.430058836056105,13.820037643216528,,19.152063615998486,19.01188325599651,0.6430947192420717,18.368788536754437,0.0,42.263254992343334,25.212081811939495,8.87133389638711
98,720,5.166119720899378,-47.13714820090367,25.66604449636774,-52.1137869227777,14.311598335733605,-0.7676921486854553,19.675037612993037,19.223009895998985,0.6426461220689816,18.580363773930003,0.2955455720075406,42.263422172823496,25.297882071361325,5.166119720899378
99,720,1.4314114150665105,-65.41286268113144,24.01200444232075,-68.7958320585241,14.276873292741351,,20.386706312012393,20.24632557100267,0.6433615140122129,19.60296405699046,0.0,42.26205718140428,24.267784527982222,1.4314114150665105
100,720,6.898862285357331,-42.35423941011001,25.47481068338984,-48.15875627711858,13.508611865124424,-0.7872299551963806,19.349756679002894,18.91016979201231,0.6418387519515818,18.26833104006073,0.2965895770030329,42.26207954410906,25.658632007154093,6.400757714523478
101,709,0.0,-56.82271281904198,24.20144065356686,-60.10554517690573,14.364423756907705,,19.4695098069933,19.31525558899739,0.633518755887053,18.681736833110335,0.0,42.26245157153985,24.661077998874724,0.0
102,720,0.7951105206716982,-64.05660014235274,24.131709065640127,-67.42612125425522,14.548933029046442,-0.6742276549339294,20.237801455994486,19.797274429001845,0.6418052200315287,19.155469208970317,0.2958059740049066,42.26331894493748,24.389242186633453,0.7951105206716982
103,720,1.8377248807726454,-61.901359358427484,24.56805293245684,-65.25466836050495,14.263630053937685,,19.122910261998186,18.967527082000743,0.6422645519633079,18.325262530037435,0.0,42.26205009438825,24.455945815605613,1.8377248807726454
104,720,3.6680099291342123,-68.43135801230065,23.73441006677577,-70.77979328972273,14.72133012022,-0.6572840809822083,21.092589434003457,20.629313920013374,0.6414057010406395,19.987908218972734,0.2985012830031337,42.26320828541701,24.162437456560458,3.6680099291342123
105,720,1.807046989464771,-66.5848209789816,24.172071708188795,-69.25709442407307,14.575972688313993,,19.74545692600077,19.59065909399942,0.6439179779990809,18.94674111600034,0.0,42.26339342592657,24.12264962971311,1.807046989464771
106,720,5.5459799486341606,-53.061282868003026,25.31415705696176,-57.15312828172309,14.384269919810356,-0.7196727395057678,19.74007154699939,19.2807939320046,0.6415694789029658,18.639224453101633,0.2945466579985805,42.26301692506773,24.954307828262294,5.5459799486341606
107,714,0.0,-66.02504426566945,23.961208857003324,-68.79183008229667,14.345490304907761,,19.166442422007094,19.028613843998755,0.6365843038947787,18.392029540103977,0.0,42.262766724576515,24.156055444734104,0.0
108,720,6.5839579650238065,-64.58980047631633,24.103156117325344,-66.01310798893148,15.44841094430696,-0.8885588049888611,20.575832321002963,20.122151560994098,0.6421661119820783,19.47998544901202,0.2953266280092066,42.263388828279396,24.26018757977852,6.5839579650238065
109,720,10.525050963672498,-46.06019020266462,24.697838287612672,-47.79611929255405,15.443669407869109,,21.06689194700448,20.91408807199332,0.6433944600867108,20.27069361190661,0.0,42.26204292818889,25.4767010034832,7.26563605277798
110,698,0.0,-61.968156785808105,23.31270846242181,-63.78634885124681,14.770612055872402,-0.5106873512268066,19.064539327999228,18.623518278007396,0.6224682699685218,18.001050008038874,0.29572134900081437,42.26272824423317,24.237870609245775,0.0
111,720,11.077716457554793,-53.04406768623634,24.774682267036933,-56.06394627570846,14.815136530206457,,19.24118999199709,19.096619563002605,0.6426335100986762,18.45398605290393,0.0,42.263191332283284,25.10859625251415,11.077716457554793
112,720,7.366384660057664,-63.49763565446122,24.00321351012779,-65.25786538081326,15.286035025000551,-0.7493431568145752,20.72425805000239,20.27999526099302,0.6422622339305235,19.637733027062495,0.29209141100000124,42.2633740770054,24.352768473665733,7.366384660057664
113,720,0.7685823589451686,-72.89212319593518,23.812929383654627,-74.02138778276024,15.448747158376097,,19.350444926996715,19.191616814001463,0.6426548341551097,18.548961979846354,0.0,42.26332013989502,23.783075011070686,0.7685823589451686
114,720,13.77920323464884,-39.05083760850181,25.476011360768464,-41.80909957173553,15.480270804960552,-0.7376528978347778,19.847152774003916,19.39537836999807,0.6412943689356325,18.754084001062438,0.2972034209960839,42.2633751758354,25.984033101348135,13.77920323464884
115,720,5.643645299304622,-54.92816908244103,24.503266860797584,-56.690033837173274,15.38238826452214,,20.66343570400204,20.50306966599601,0.6441615983785596,19.85890806761745,0.0,42.26203420540817,24.90188643010172,5.643645299304622
116,720,9.102419398251573,-44.99624959013345,25.23682504765035,-48.92580136077083,14.475491548166378,-0.5147013664245605,19.989601402005064,19.55208480899455,0.6429128767485963,18.909171932245954,0.2958462690003216,42.263378742341494,25.5295236228629,9.102419398251573
117,720,5.07007706727933,-52.83792503766756,25.374709933466505,-55.878903922159616,15.059784101837772,,19.590613895998104,19.441876279001008,0.6454103849973762,18.79646589400363,0.0,42.26331772963082,25.032149463407226,5.07007706727933
118,720,14.187994391594893,-37.429146772304385,25.76546429968769,-41.07271354998434,15.122884493103925,-0.7553662657737732,19.503075211003306,19.064423260002513,0.6431111870624591,18.421312072940054,0.29597914600162767,42.26299522074433,26.04971371513315,12.202973183576928
119,720,11.408715710747467,-53.310254255836135,24.97642936975287,-55.36164388938693,15.69486772259212,,19.519675518997246,19.3737067990005,0.6425670509634074,18.731139748037094,0.0,42.26247491263168,25.053969825548094,11.408715710747467
